Note-id	Note_jpn	Note	Registered	LastUpdated
Note-id_120	シュミレーション上、ACE2（ACE-2）（新型コロナウイルス感染症）（キクガシラコウモリ）。	In silico; ACE2 (ACE-2) (COVID-19) (Rhinolophus ferrumequinum).	2021-09-01	
Note-id_121	ACE2（ACE-2）（相同性）（新型コロナウイルス感染症）。	ACE2 (ACE-2) (by similarity) (COVID-19).	2021-09-01	2021-09-27
Note-id_122	SARS-CoV-2の候補宿主（ACE2オルソログ）（コンピューター上）。	Candidate SARS-CoV-2 host by ACE2 ortholog ability (in silico).	2021-09-01	
Note-id_123	候補宿主動物－Bat-CoVに対するACE2オルソログ能あり（コンピューター上）； ウマ、ネコ、ラクダ、ヒツジ、ウサギ、ハイイログマ（コウモリから他哺乳綱/哺乳類へのSARS-CoV-2様感染）。	Candidate animal hosts by ACE2 ortholog ability against Bat-CoV; horses, cats, cattle, sheep, rabbits and grizzly bears (in silico) (SARS-CoV-2-like infection from bats to mammals).	2021-09-01	
Note-id_124	SARS-CoV-2様感染；コウモリ（Bat-CoV）→ウマ、ネコ、ウシ、ヒツジ、ウサギ、ハイイログマ（ACE2オルソログ）（コンピューター上）。	SARS-CoV-2-like infection; bats (Bat-CoV) to horses, cats, cattle, sheep, rabbits and grizzly bears (by ACE2 ortholog) (in silico).	2021-09-01	
Note-id_125	コウモリ由来CoVの感染可生物種。	Reservoir animals of Bat coronavirus.	2021-09-01	
Note-id_126	Bat-CoVの候補宿主（ACE2オルソログ能）（コンピューター上）（コウモリからのSARS-CoV-2様感染）。	Candidate Bat-CoV host by ACE2 ortholog ability (in silico) (SARS-CoV-2-like infection from bats).	2021-09-01	
Note-id_127	コロナウイルス感染による疾患；（ウイルスの）スパイクタンパクによる宿主受容体認識が、宿主範囲、組織向性、発病の主決定要因。	Coronavirus infectious disease; S protein recognition for host receptor is the major determinant of host range, tissue tropism, and pathogenesis	2021-09-01	
Note-id_128	候補宿主動物－SARS-CoV-2に対するACE2オルソログ受容体能高；ヒト、アカゲザル、ウサギ、センザンコウ。（低、ラット、マウス。）	Candidate animal hosts by ACE2 ortholog high receptor activities against SARS-CoV-2; human, rhesus monkey, rabbits and pangolins. (Low; rat and mouse.)	2021-09-01	
Note-id_129	ACE2（ACE-2）（高活性）。	ACE2 (ACE-2) (high activity).	2021-09-01	
Note-id_130	ACE2（ACE-2）（新型コロナウイルス感染症）（高活性）。	ACE2 (ACE-2) (COVID-19) (high activity).	2021-09-01	
Note-id_131	ACE2（ACE-2）（新型コロナウイルス感染症）（低活性）。	ACE2 (ACE-2) (COVID-19) (low activity).	2021-09-01	
Note-id_132	SARS-CoV-2の候補宿主（ACE2オルソログ活性能高）。	Candidate SARS-CoV-2 host by ACE2 ortholog high receptor activity.	2021-09-01	
Note-id_133	SARS-CoV-2の候補宿主（ACE2オルソログ活性能低）。	Candidate SARS-CoV-2 host by ACE2 ortholog low receptor activity.	2021-09-01	
Note-id_134	スパイクタンパクにfurin切断部位があってもなくても、SARS-CoV-2は幅広い動物にACE2を介して感染出来る。	Both wild-type SARS-CoV-2 and a mutant lacking the furin cleavage site in S protein could infect a broad range of animal species utilizing ACE2. 	2021-09-01	
Note-id_135	新型インフルエンザ等感染症（見直し中）。	Reconsider (Pandemic Influenza (Novel Influenza or Re-emerging Influenza)).	2021-09-01	
Note-id_136	候補宿主動物－SARS-CoV-2への人為的感染可（ワクチン開発）；マカク（真猿類）、マウス、ラット。	Candidate animal hosts by artificial infection to SARS-CoV-2 for development vaccines; macaques, mice and rats. 	2021-09-01	2021-09-27
Note-id_137	SARS-CoV-2の候補宿主（人為的感染能（ワクチン開発））（マカク）。	Candidate SARS-CoV-2 host by artificial infection (for development vaccines) (macaques). 	2021-09-01	2021-09-27
Note-id_138	SARS-CoV-2の候補宿主（人為的感染能（ワクチン開発））。	Candidate SARS-CoV-2 host by artificial infection (for development vaccines). 	2021-09-01	2021-09-27
Note-id_139	新型コロナウイルス感染症に実験上感染。	Experimental infection with COVID-19.	2021-09-01	
Note-id_140	高死亡率。	High mortality rate.	2021-09-01	
Note-id_141	幅広いウイルス（による疾患）への候補薬；リン酸クロロキン（chloroquine phosphate）（但し、新型コロナウイルス感染症では、緊急使用許可後、撤回）。	Candidate drugs for a wide range of antiviral (diseases); chloroquine phosphate (chloroquine) (but revoked emergency use authorization for COVID-19).	2021-09-07	
Note-id_142	候補薬；トリテルペノイド（グリチルリチン酸、オレアノール酸）、胆汁酸（１次、２次）（グリコウルソデオキシコール酸、オベチコール酸）。	Candidate drugs; triterpenoids (glycyrrhetinic and oleanolic acids), bile acids (primary and secondary) and derivatives (glyco-ursodeoxycholic acid and obeticholic acid). 	2021-09-07	
Note-id_143	候補薬；糖鎖ヒト化ポリクローナル抗体。	Candidate drugs; glyco-humanized polyclonal antibodies. 	2021-09-07	
Note-id_144	SARS-CoV-2よりSARS-CoVのほうが病原性が高いが、配列、構造、病原性が似ている。	SARS-CoV is high pathogenic than SARS-CoV-2 but their sequences, structures and pathogenicities are similar.	2021-09-07	
Note-id_145	ベータコロナウイルス属SARSコロナウイルス、SARS-CoV。	Betacoronavirus genus SARS-CoV.	2021-09-07	2021-09-08
Note-id_146	中国でアウトブレイクがおきた。	Outbreak happened in China.	2021-09-07	
Note-id_147	サウジアラビア王国でアウトブレイクがおきた。	Outbreak happened in Saudi Arabia.	2021-09-07	
Note-id_148	ベータコロナウイルス属MERSコロナウイルス、MERS-CoV、Middle East respiratory syndrome (Middle East respiratory syndrome coronavirus)。	Betacoronavirus genus MERS-CoV and Middle East respiratory syndrome (Middle East respiratory syndrome coronavirus).	2021-09-07	2021-09-08
Note-id_149	コロナウイルスのアウトブレイクが続いている。SARS-CoV（中国）、MERS-CoV（サウジアラビア王国）、SARS-CoV-2（パンデミック、全世界）。	Many coronavirus outbreaks happened; SARS-CoV (in China), MERS-CoV (in Saudi Arabia) and SARS-CoV-2 (pandemic, around the globe).	2021-09-07	2021-09-27
Note-id_150	同じコロナウイルス科なので、SARS-CoV、MERS-CoV、SARS-CoV-2には共通点がある。	SARS-CoV, MERS-CoV and SARS-CoV-2, belong to same coronavirus family, share several similarities.	2021-09-07	
Note-id_151	候補薬；（セリン）プロテアーゼ阻害剤（フーリン阻害剤）。	Candidate drugs; (serine) protease inhibitors (furin inhibitors).	2021-09-07	
Note-id_152	ラブドウイルス科狂犬病ウイルス、rabies virus、RABV。	Rhabdoviridae family rabies virus (RABV).	2021-09-07	2021-09-17
Note-id_153	一類感染症。	Category I Infectious Diseases.	2021-09-07	
Note-id_154	二類感染症。	Category II Infectious Diseases.	2021-09-07	
Note-id_155	四類感染症。	Category IV Infectious Diseases.	2021-09-07	
Note-id_156	牛、馬、めん羊、山羊、豚。	Cattle, horses, sheep, goats and pigs.	2021-09-07	
Note-id_157	現在のパンデミックと将来おこりうるパンデミックを防ぐための効果的なワクチン。	Effective vaccines against COVID-19 pandemic and future pandemics.	2021-09-07	
Note-id_158	（新興/再興）人獣共通感染症のパンデミックを防ぐための効果的なワクチン。	Effective vaccines against emerging and re-emerging zoonotic viral diseases, for avoiding pandemics.	2021-09-07	
Note-id_159	世界各地でSARS-CoV-2の変異は生じており、全世界的脅威である。	Some mutations were observed between SARS-CoV-2 strains, might be a threat to the whole world.	2021-09-07	
Note-id_160	RaTG13とPangolin-CoVはSARS-CoV-2と類似するも（スパイクタンパク質のRBDにある多塩基性切断部位を除く）、O-型糖鎖が異なる（センザンコウはSerのみ、コウモリはThrとSerの両方を使用）。	RaTG13 and Pangolin-CoV are very similar to SARS-Cov-2 except polybasic cleavage site of RBD of S protein, but their O-linked glycans are different (pangolin use only Ser but RaTG13 use both Thr and Ser).	2021-09-07	
Note-id_161	センザンコウコロナウイルスに感染したマレーセンザンコウは臨床症状を示した。また、その循環抗体は、SARS-CoV-2のスパイクタンパクとも反応。世界で最も売買されている哺乳綱/哺乳類であるセンザンコウは、SARS-CoV-2の中間宿主である可能性があり、その不正取引は将来脅威となりうる。	The Pangolin-CoV infected Malayan pangolins showed clinical signs. Their circulating antibodies against Pangolin-CoV also reacted with the S protein of SARS-CoV-2. Pangolins, the most-trafficked mammal are possible intermediate host of SARS-CoV-2, and their uncontrolled trade could represent a future threat to public health.	2021-09-07	2021-09-27
Note-id_162	様々なコロナウイルスの宿主（感染源）。	Reservoirs/hosts for various coronaviruses.	2021-09-07	
Note-id_163	候補薬；未分画ヘパリン、無抗凝固性ヘパリン、ヘパリンリアーゼ、肺ヘパラン硫酸。	Candidate drugs; unfractionated heparin, non-anticoagulant heparin, heparin lyases, and lung heparan sulfate.	2021-09-07	
Note-id_164	（季節性）インフルエンザワクチン。	Influenza vaccines.	2021-09-07	
Note-id_165	狂犬病ワクチン（曝露前/後の２種類あり）。曝露後即投与で、99%死亡回避。	Rabies vaccines (two strategies; pre-exposure prophylaxis (PrEP) and post-exposure prophylaxis (PEP)). Prompt vaccinations after exposure prevent 99% of deaths.	2021-09-07	2021-09-16
Note-id_166	B型肝炎ワクチン。	Hepatitis B (HBV) vaccines.	2021-09-07	
Note-id_167	A型肝炎ワクチン。	Hepatitis A (HAV) vaccines.	2021-09-07	
Note-id_168	日本脳炎ワクチン。	Japanese encephalitis (JE) vaccines.	2021-09-07	
Note-id_169	黄熱ワクチン。	Yellow fever vaccines.	2021-09-07	
Note-id_170	（季節性）インフルエンザウイルス、influenza virus。	Influenza virus.	2021-09-07	2021-09-08
Note-id_171	B型肝炎ウイルス、hepatitis B virus、HBV。	Hepatitis B virus (HBV).	2021-09-07	2021-09-08
Note-id_172	A型肝炎ウイルス、hepatitis A virus、HAV。	Hepatitis A virus (HAV).	2021-09-07	2021-09-08
Note-id_173	日本脳炎ウイルス、Japanese encephalitis (JE) virus。	Japanese encephalitis (JE) virus.	2021-09-07	2021-09-08
Note-id_174	黄熱ウイルス、yellow fever virus。	Yellow fever virus.	2021-09-07	2021-09-08
Note-id_175	五類感染症。	Category V Infectious Diseases.	2021-09-07	
Note-id_176	ワクチンの低用量皮内注射で有効性あり（（季節性）インフルエンザ（；健康な成人、高齢者、免疫不全患者、子供）、狂犬病およびB型肝炎）。	Fractional and intradermal vaccination is valid against influenza (for healthy adults, elderly, immunocompromised patients and children), rabies and hepatitis B.	2021-09-07	
Note-id_177	ワクチン投与量と方法の検討（低用量皮内注射が有効；（季節性）インフルエンザ（；健康な成人、高齢者、免疫不全患者、子供）、狂犬病およびB型肝炎。有望；A型肝炎ウイルス（HAV）、ジフテリア菌、破傷風菌、百日咳菌、日本脳炎ウイルス（JE）、髄膜炎菌、水痘帯状疱疹ウイルス（VZV）、黄熱病ウイルス）（ワクチン不足と集団免疫の早期獲得）。	Dose of vaccination (fractional and intradermal; valid; influenza (for healthy adults, elderly, immunocompromised patients and children), rabies and hepatitis B, promising; hepatitis A, Japanese encephalitis and yellow fever) (for vaccines shortages and achieve herd immunity quickly).	2021-09-07	
Note-id_178	Severe acute respiratory syndrome、SARS。	Severe acute respiratory syndrome or SARS.	2021-09-07	
Note-id_179	新型コロナウイルス感染症のパンデミックは、人獣共通感染症への対策の重要性を示した。	Pandemic of COVID-19 disease shows us the significance of countermeasures for zoonoses.	2021-09-07	
Note-id_180	アフリカ諸国。	African countries.	2021-09-07	
Note-id_181	アフリカ、アジア（特に低中所得国）。	African and Asian countries (especially in low to middle-income ones).	2021-09-07	2021-09-27
Note-id_182	牛、めん羊、山羊。	Cattle, sheep and goats.	2021-09-07	
Note-id_183	ホットスポットをなくし、病原体、宿主、媒介と複雑な（人獣共通）感染症のパンデミックを阻止していくためには、医療努力だけでなく、病気の監視、適切な情報、衛生知識の普及といったワンヘルス、さらには貧困救済、気候変動を含む環境問題への対応、文化や伝統への相互理解も必要不可欠である。	For block of hotspot and prevention of pandemic caused by zoonoses, relates various pathogens, reservoirs and transmitters, need not only medical efforts but surveillance of diseases, information and knowledge as One Health measures, poverty reduction, address global environmental problem including climate change and mutual understanding of culture and traditions.	2021-09-07	2021-09-27
Note-id_184	（特にアフリカにおける）（人獣共通）ウイルス性感染症情報。	Information about zoonotic viral diseases in especially Africa.	2021-09-07	
Note-id_185	候補地；ヒトとサル（霊長目）の生活距離が近い場所。	Candidate areas; close contact places between human and primates.	2021-09-12	2021-09-29
Note-id_186	Cercopithecine herpesvirus 1、CHV-1。	Cercopithecine herpesvirus 1 or CHV-1.	2021-09-12	
Note-id_187	シミアンウイルス40、Simian virus 40、SV40。	Simian virus 40 or SV40.	2021-09-12	
Note-id_188	サルレトロウイルス、simian retrovirus、SRV。	Simian retrovirus or SRV.	2021-09-12	
Note-id_189	サルT細胞白血病ウイルス、simian T-cell lymphotropic virus、STLV。	Simian T-cell lymphotropic virus or STLV.	2021-09-12	
Note-id_190	候補シナリオ；サルT細胞白血病/リンパ腫をひきおこすサルT細胞白血病ウイルスが偶発的にヒトに感染し、それがヒトT細胞白血病ウイルスI型へと変異/進化し、ヒトで成人T細胞白血病をひきこすと考えられている。	Candidate scenario; simian T-cell lymphotropic virus (simian T-cell leukemia) had accidentally transmitted into human and mutated/evolved to human T-cell leukemia virus type I (cause adult T-cell leukemia).	2021-09-12	
Note-id_191	サル免疫不全ウイルス（simian immunodeficiency virus、SIV）の宿主（アカゲザル）、詳細未確認。	Unidentified but hosts for Simian immunodeficiency virus (SIV) (rhesus macaques).	2021-09-12	
Note-id_192	候補シナリオ；霊長目がもつサル免疫不全ウイルスがヒトに感染し、それがヒト免疫不全ウイルスへと変死/進化し、ヒトで後天性免疫不全症候群をひきおこすと考えられている。	Candidate scenario; simian immunodeficiency virus (infected to primates) had transmitted into human and mutated/evolved to human immunodeficiency virus (causes acquired immunodeficiency syndrome).	2021-09-12	2021-09-29
Note-id_193	サル泡沫状ウイルス、simian foamy virus、SFV。	Simian foamy virus or SFV.	2021-09-12	
Note-id_194	ヒトのサル泡沫状ウイルス感染が報告されているようだが、詳細未確認。	Unidentified but some reported simian foamy virus infected humans.	2021-09-12	
Note-id_195	シミアンウイルス40（SV40）に感染歴あり（アカゲザル）（ネパール）。	Detected simian virus 40 (SV40) antibodies (rhesus macaques) (in Nepal).	2021-09-12	2021-09-27
Note-id_196	Cercopithecine herpesvirus 1（CHV-1）に感染歴あり（アカゲザル）（ネパール）。	Detected cercopithecine herpesvirus 1 (CHV-1) antibodies (rhesus macaques) (in Nepal).	2021-09-12	2021-09-27
Note-id_197	サル泡沫状ウイルス（SFV）に感染歴あり（アカゲザル）（ネパール）。	Detected simian foamy virus (SFV) antibodies (rhesus macaques) (in Nepal).	2021-09-12	2021-09-27
Note-id_198	候補宿主もしくは媒介動物－シミアンウイルス40（SV40）に感染歴あり；サル（アカゲザル）（ネパール）。	Candidate animal hosts or disseminators by detected simian virus 40 (SV40) antibodies; primates (rhesus macaques) (in Nepal).	2021-09-12	2021-09-27
Note-id_199	候補宿主もしくは媒介動物－Cercopithecine herpesvirus 1（CHV-1）に感染歴あり；サル（アカゲザル）（ネパール）。	Candidate animal hosts or disseminators by detected cercopithecine herpesvirus 1 (CHV-1) antibodies; primates (rhesus macaques) (in Nepal).	2021-09-12	2021-09-27
Note-id_200	候補宿主もしくは媒介動物－サル泡沫状ウイルス（SFV）に感染歴あり；サル（アカゲザル）（ネパール）。	Candidate animal hosts or disseminators by detected simian foamy virus (SFV) antibodies; primates (rhesus macaques) (in Nepal).	2021-09-12	2021-09-27
Note-id_201	ヒトとサルの社会的距離の遵守。	Physical distancing (between human and animals).	2021-09-12	
Note-id_202	齧歯目につぎ多種で、空を飛べる哺乳綱/哺乳類。	Second diverse mammals after rodents and can fly.	2021-09-12	2021-09-29
Note-id_203	食虫性、果食性、吸血性、夜行性、薄明薄暮性、昼行性、洞窟での密集性、単独性と種により多様な生活様式をもつが、不明な点が多い。	Many unknown diverse life styles; insectivorous, frugivorous, hematophagous, nocturnal, crepuscular or diurnal flying, seasonal migrations (long flying), living in caves rather small home range or solitary.	2021-09-12	2021-09-27
Note-id_204	60を超えるウイルスを検出；高病原性（狂犬病および他のリッサウイルス、ニパやヘンドラウイルスを含むヘニパウイルス、エボラおよびマールブルグウイルスといったフィロウイルス、SARS-CoVやMERS-CoVを含む多くのコロナウイルス）。新規未知（既知とアミノ酸相同性の低いコンティグ）。	Several viruses detected or isolated; highly pathogenic (rabies virus and other Lyssavirus, henipaviruses including Nipah and Hendra viruses, filoviruses including Ebola and Marburg viruses, many coronaviruses including SARS-CoV and MERS-CoV) for humans and animals. Novel and unknown (low amino acid identity to known viruses.	2021-09-12	2021-10-19
Note-id_205	ラブドウイルス科リッサウイルス（狂犬病ウイルス以外）、Lyssavirus (excluding rabies virus)（ヨーロッパコウモリリッサウィルス、European bat lyssavirus）。	Rhabdoviridae family Lyssavirus (excluding rabies virus) (European bat lyssavirus).	2021-09-12	2021-09-19
Note-id_206	パラミクソウイルス科ニパウイルス、Nipah virus。	Paramyxoviridae family Nipah virus.	2021-09-12	
Note-id_207	パラミクソウイルス科ヘンドラウイルス、Hendra virus。	Paramyxoviridae family Hendra virus.	2021-09-12	
Note-id_208	モノネガウイルス目フィロウイルス科マールブルグウイルス、Marburg virus。	Mononegavirales order Filoviridae family Marburg virus.	2021-09-12	
Note-id_209	候補宿主（感染源）もしくは媒介；コウモリ。	Candidate animal reservoirs/hosts or disseminators; bats.	2021-09-12	
Note-id_210	候補宿主動物（感染源）－ザイールエボラウイルスに感染歴あり；ウマヅラコウモリ、フランケオナシケンショウコウモリ、コクビワフルーツコウモリ。	Candidate reservoir/host by detected Ebola-Zaire antibodies; Hammer-headed Bats (Hypsignathus monstrosus), Epauletted Fruit Bats (Epomops franqueti), and Little Collared Fruit Bats (Myonycteris torquata).	2021-09-12	2021-09-12
Note-id_211	候補宿主動物（感染源）－マールブルグウイルスに感染歴あり、ウイルスRNA検出；エジプトルーセットオオコウモリ（洞窟に生息）。	Candidate reservoir/host by detected Marburg virus antibodies and virus-specific ribonucleic acid; Rousettus aegyptiacus (bat) (in cave home).	2021-09-12	2021-09-27
Note-id_212	ウイルス感染無症候性メカニズム（炎症抑制）。	Mechanisms of asymptomatic viral infections (control of inflammation).	2021-09-12	
Note-id_213	ウイルス感染無症候性（SARS-CoV-2、（コウモリ由来）狂犬病、エボラ、マールブルグウイルス）で、長寿。	Asymptomatic viral infections (rabies, Ebola, Marburg viruses and SARS-CoV-2) and longevity.	2021-09-12	
Note-id_214	わたりをするものと定住型の同種コウモリ間でウイルスをやりとりできる。	Between migrating and non-migrating conspecific bats can exchange viruses.	2021-09-12	
Note-id_215	長寿、食事、個体数、密集就塒行動、わたり、先天性免疫応答、後天性免疫応答、調査監視。	Longevity, diet, population size and densities, crowded roosting behavior, migrations, innate immune response, acquired immune response and surveillance.	2021-09-12	
Note-id_216	冬眠とウイルスの越冬。実験的なコウモリ由来狂犬病ウイルス感染および冬眠時にはウイルスは増殖せず、コウモリの目覚めとともに活性化（メキシコオヒキコウモリ、トビイロホオヒゲコウモリ）。実験的非冬眠コウモリ感染ウイルスよりも、より早くより高濃度に唾液腺に到達。	Hibernation and viral overwintering. No multiplication of bat rabies virus experimental infected to bats during hibernation (Tadarida mexicana and Myotis lucifugus). Activated virus after the awakening of bats reach salivary glands faster and at higher concentrations than the experimental no hibernating bat infected virus.	2021-09-12	2021-09-13
Note-id_217	主な感染源となる理由。	Why efficient reservoir?	2021-09-12	
Note-id_218	経済効果が高い（害虫駆除、果物や植物加工品の花粉媒介、種子散布）（ドリアン；東南アジア、リュウゼツラン（スピリッツ（アルコール）の原料）；ベネズエラ・ボリバル共和国の西海岸や近隣の島々、コロンビア共和国～アンデス）。	High economic effect; pest-control, pollination and seed disperse (durian in Southeast Asia and agave (distilled into spirit drink) in areas which western coast and nearby islands of Venezuela, or Colombia, to the Andes).	2021-09-12	2021-09-27
Note-id_219	ブッシュミートを食べる食文化があり、食品として流通している。例、コウモリ肉；西アフリカ、ダイカー、センザンコウ、トリ、カメ肉；中央アフリカ（ガボン共和国）。	Culture of eating of bushmeats and distributions as foods; e.g., bat meat in West Africa, duiker, pangolin, bird and turtle meat in Central Africa (Gabon).	2021-09-12	2021-09-27
Note-id_220	パラミクソウイルス、フィロウイルス、リッサウイルスの宿主（感染源）。	Reservoirs/hosts for paramyxoviruses, filoviruses, and lyssaviruses.	2021-09-12	
Note-id_221	コウモリに噛まれたり、ひっかかれたり、尿を浴びのを避けるために、防護具（洞窟や鉱山など）の装着。或いはこのような近接触域を避ける。	Needs protective equipment, for avoid bitten and scratched by bats, or exposed to bat urine (e.g., in caves and mines). Otherwise, should off limit those close contact areas.	2021-09-12	2021-09-27
Note-id_222	洞窟や鉱山に生息している。	Living in caves and mines.	2021-09-12	
Note-id_223	ブッシュミート（コウモリ、ダイカー、センザンコウ、トリ、カメの肉）の食用及び流通の安全性。	Safety for consumption of bushmeats (bat, duiker, pangolin, bird and turtle meat) and transports of them.	2021-09-12	2021-09-27
Note-id_224	儀式に使用（アフリカ（ナイジェリア連邦共和国））。	Presents for rituals (e.g., in West Africa (Nigeria)).	2021-09-12	2021-09-27
Note-id_225	コウモリを捕まえる伝統祭りがある（ナイジェリア連邦共和国）。	Capturing bats is one of the traditional festivals (in Nigeria).	2021-09-12	2021-09-27
Note-id_226	伝統祭りとしてヒトに捕獲される（ナイジェリア連邦共和国）。	Captured by humans as one of the traditional festivals (in Nigeria).	2021-09-12	2021-09-27
Note-id_227	（リッサウイルス、ペギウイルス、コロナウイルス潜伏）コウモリ（特にナイジェリア連邦共和国）との接触による健康への影響。	Health consequences of contact with bats (identified lyssaviruses, pegiviruses, and coronaviruses) (especially in Nigeria).	2021-09-12	
Note-id_228	マールブルグウイルスの宿主（感染源）（エジプトルーセットオオコウモリ）。	Reservoirs/hosts for Marburg virus (Rousettus aegyptiacus (Egyptian Fruit Bats)).	2021-09-12	
Note-id_229	潜伏動物の冬眠とウイルスの越冬。実験的なコウモリ由来狂犬病ウイルス感染および冬眠時にはウイルスは増殖せず、コウモリの目覚めとともに活性化（メキシコオヒキコウモリ、トビイロホオヒゲコウモリ）。実験的非冬眠コウモリ感染ウイルスよりも、より早くより高濃度に唾液腺に到達。	Hibernation and viral overwintering. No multiplication of bat rabies virus experimental infected to bats during hibernation (Tadarida mexicana and Myotis lucifugus). Activated virus after the awakening of bats reach salivary glands faster and at higher concentrations than the experimental no hibernating bat infected virus.	2021-09-15	
Note-id_230	致死率が極めて高い。	Fatal.	2021-09-15	
Note-id_231	イヌ由来狂犬病は発症（（コウモリ由来）狂犬病ウイルスには無症候）。	Symptomatic against canine rabies, but asymptomatic against bat rabies.	2021-09-15	
Note-id_232	イヌ由来はコウモリとマウスで脳炎を発症するも、コウモリ由来はマウスのみ発症し、コウモリは無症候。	Mouse and bats are symptomatic (encephalitic disease) against canine rabies, but bats are asymptomatic against bat rabies only mouse are symptomatic.	2021-09-15	
Note-id_233	ヒトの活動（農薬など）が、コウモリの染色体異常を引き起こしている可能性がある。	Human activity (such as pesticides) may cause bat chromosomal abnormalities.	2021-09-15	
Note-id_234	Ebola virus disease、EVD（以前は、エボラ出血熱とも）。	Ebola virus disease or EVD (once, Ebola hemorrhagic fever).	2021-09-27	2021-10-22
Note-id_235	対症療法や合併症管理のみ。	Only supportive care of it and management of complications.	2021-09-27	
Note-id_236	複数回アウトブレイクがおきている。	Many outbreaks occurred.	2021-09-27	
Note-id_237	迅速診断。	Rapid characterization of pathogens.	2021-09-27	
Note-id_238	伝播の地理空間マッピング。	Geospatial mapping of transmission.	2021-09-27	
Note-id_239	社会や地域（住民）の動員（人獣共通感染症とその治療法や予防法へのへの意識改革のために）（アフリカなど）。	Social and community mobilization (for awareness of zoonoses and ways of treatment and prevention against them) (e.g., in Africa).	2021-09-27	
Note-id_240	急性脳炎。	Acute encephalitis.	2021-09-27	
Note-id_241	年間約59,000人が死亡（過少報告の可能性あり）。	About 59,000 deaths per year (but may be under-reported).	2021-09-27	
Note-id_242	発症後は致命的。	Fatal, once signs and symptoms begin to appear.	2021-09-27	
Note-id_243	（飼い）イヌへの狂犬病ワクチン接種。	Rabie vaccinations for domestic dogs.	2021-09-27	
Note-id_244	宿主動物へのワクチン接種（狂犬病；イヌ）。	Vaccinations for host animals (rabies; domestic dogs).	2021-09-27	
Note-id_245	流行地域でなくとも、野生動物（コウモリ、アライグマ、スカンク、キツネ）や狂犬病ワクチン非接種飼いネコから伝播の可能性があるので注意する。	Not in common and prevalent areas but caution for transmission by wild animals (bats, raccoons, skunks, foxes) and unvaccinated domestic cats.	2021-09-27	
Note-id_246	ワクチン接種（狂犬病）。	Vaccination (against rabies).	2021-09-27	
Note-id_247	（ワクチン非接種の場合）狂犬病を発症。	Symptomatic of rabies (in an unvaccinated case).	2021-09-27	
Note-id_248	狂犬病の候補宿主。	Not major but one of candidate rabies virus hosts.	2021-09-27	
Note-id_249	主経路；狂犬病ワクチン非接種飼いイヌ→ヒト。	Major route of transmission; unvaccinated domestic dogs to humans.	2021-09-27	
Note-id_250	副経路；野生動物（コウモリ、アライグマ、スカンク、キツネ）および狂犬病ワクチン非接種飼いネコ→ヒト。	Sub route of transmission; wild animals (bats, raccoons, skunks, foxes) and unvaccinated domestic cats to humans.	2021-09-27	
Note-id_251	感染経路/宿主（媒介）が１つとは限らない（狂犬病）。	Multi routes of transmission or hosts/disseminators (rabies).	2021-09-27	
Note-id_252	コンパニオンアニマル（或いはペット）の１種。	One of companion animals (or pets).	2021-09-27	
Note-id_253	イヌ、（大型を含む）ネコ（科）、ウマ、フェレット、（養殖を含む）ミンク、モルモット、爬虫類、家禽/トリ、観賞魚、食料生産動物であるブタなど多様な生き物。	A wide variety of species; dogs, (captive big) cats, horses, ferrets, (farmed) minks, guinea pigs, reptiles, poultry/birds and ornamental fish, and food production animal species; domestic pigs.	2021-09-27	
Note-id_254	合計138種の（人獣共通感染症）ウイルスが感染可とする報告があり、ヒトと食料生産動物の健康への懸念がある。	In total 138 (zoonotic) viruses were reported capable of infecting. It is concern for health both human and food production animals.	2021-09-27	
Note-id_255	コンパニオンアニマル（ペット）へは合計138種の（人獣共通感染症）ウイルスが感染可とする報告あり。	In total 138 (zoonotic) viruses were reported capable of infecting companion animals (pets).	2021-09-27	
Note-id_256	感染可と報告がある138種の（人獣共通感染症）ウイルスのうち、59は、ヒトへ感染する。	59 of 138 (zoonotic) viruses, were reported capable of infecting, are also infectious for humans.	2021-09-27	
Note-id_257	コンパニオンアニマル（ペット）に感染可と報告がある合計138種の（人獣共通感染症）ウイルスのうち59は、ヒトへ感染する。	59 of 138 (zoonotic) viruses, were reported capable of infecting companion animals (pets), are also infectious for humans.	2021-09-27	
Note-id_258	感染可と報告がある138種の（人獣共通感染症）ウイルスのうち、135は、食料生産（哺乳）動物やトリへ感染する。	135 of 138 (zoonotic) viruses, were reported capable of infecting, are also infectious for food production mammals and birds.	2021-09-27	
Note-id_259	コンパニオンアニマル（ペット）に感染可と報告がある合計138種の（人獣共通感染症）ウイルスのうち135は、食料生産（哺乳）動物やトリへ感染する。	135 of 138 (zoonotic) viruses, were reported capable of infecting companion animals (pets), are also infectious for food production mammals and birds.	2021-09-27	
Note-id_260	感染可と報告がある138種の（人獣共通感染症）ウイルスのうち、22は、食につながる魚へ感染する。	22 of 138 (zoonotic) viruses, were reported capable of infecting, are also infectious for food production fishes.	2021-09-27	
Note-id_261	コンパニオンアニマル（ペット）に感染可と報告がある合計138種の（人獣共通感染症）ウイルスのうち22は、食につながる魚へ感染する。	22 of 138 (zoonotic) viruses, were reported capable of infecting companion animals (pets), are also infectious for food production fishes.	2021-09-27	
Note-id_262	ハンタウイルス、hantaviruses。	Hantaviruses.	2021-09-27	
Note-id_263	タヒナウイルス、tahyna virus。	Tahyna virus.	2021-09-27	
Note-id_264	ウエストナイルウイルス、West Nile virus。	West Nile virus.	2021-09-27	
