lexisDic-id	lexicalCue	lexicalCue_jpn	Registered	LastUpdated
lexisDic-id_486	other symptoms	その他症状	2021-08-24	
lexisDic-id_487	7.87	7.87	2021-08-24	
lexisDic-id_488	pain abdomen	腹痛	2021-08-24	
lexisDic-id_489	fatigue	疲労	2021-08-24	
lexisDic-id_490	joints pain	関節痛	2021-08-24	
lexisDic-id_491	altered sensorium	感覚異常	2021-08-24	
lexisDic-id_492	older age	高齢者	2021-08-24	
lexisDic-id_493	average of 40.40	平均40.40	2021-08-24	
lexisDic-id_494	patient	患者	2021-08-24	
lexisDic-id_495	above 50	50以上	2021-08-24	
lexisDic-id_496	years of age	歳	2021-08-24	
lexisDic-id_497	none	ない	2021-08-24	
lexisDic-id_498	below 10	10未満	2021-08-24	
lexisDic-id_499	co morbidity	併存疾患	2021-08-24	
lexisDic-id_500	hypertension	高血圧	2021-08-24	
lexisDic-id_501	42.46	42.46	2021-08-24	
lexisDic-id_502	Diabetes mellitus	糖尿病	2021-08-24	
lexisDic-id_503	39.72	39.72	2021-08-24	
lexisDic-id_504	Old k-chest	Old k-chest	2021-08-24	
lexisDic-id_505	20.54	20.54	2021-08-24	
lexisDic-id_506	COPD	COPD	2021-08-24	
lexisDic-id_507	Bronchial Asthma	気管支ぜんそく	2021-08-24	
lexisDic-id_508	16.43	16.43	2021-08-24	
lexisDic-id_509	Coronary artery disease	冠動脈疾患	2021-08-24	
lexisDic-id_510	13.69	13.69	2021-08-24	
lexisDic-id_511	Chronic kidney disease	慢性腎臓病	2021-08-24	
lexisDic-id_512	Valvular heart disease	心臓病	2021-08-24	
lexisDic-id_513	6.84	6.84	2021-08-24	
lexisDic-id_514	RT-PCR	RT-PCR	2021-08-24	
lexisDic-id_515	average	平均	2021-08-24	
lexisDic-id_516	recovery	回復	2021-08-24	
lexisDic-id_517	8.15	8.15	2021-08-24	
lexisDic-id_518	23.27	23.27	2021-08-24	
lexisDic-id_519	recovered	回復	2021-08-24	
lexisDic-id_520	within 5	5以内	2021-08-24	
lexisDic-id_521	52.58	52.58	2021-08-24	
lexisDic-id_522	took	かかる	2021-08-24	
lexisDic-id_523	about 6-10	約6～10	2021-08-24	
lexisDic-id_524	11-15	11～15	2021-08-24	
lexisDic-id_525	remaining	残りの（ヒト）	2021-08-24	
lexisDic-id_526	0.86	0.86	2021-08-24	
lexisDic-id_527	more than 16	16以上	2021-08-24	
lexisDic-id_528	recover	回復	2021-08-24	
lexisDic-id_529	15	15	2021-08-24	
lexisDic-id_530	73.33	73.33	2021-08-24	
lexisDic-id_531	year of age	歳	2021-08-24	
lexisDic-id_532	male	男性	2021-08-24	
lexisDic-id_533	66.6	66.6	2021-08-24	
lexisDic-id_534	early age	若年	2021-08-24	
lexisDic-id_535	group	層	2021-08-24	
lexisDic-id_536	significant	かなり	2021-08-24	
lexisDic-id_537	proportion	割合	2021-08-24	
lexisDic-id_538	similar data	同様のデータ	2021-08-24	
lexisDic-id_539	other countries	他の国	2021-08-24	
lexisDic-id_540	population	個体群	2021-08-24	
lexisDic-id_541	more	より	2021-08-24	
lexisDic-id_542	nearly three-fourth	ほぼ3/4	2021-08-24	
lexisDic-id_543	young age	若い	2021-08-24	
lexisDic-id_544	diagnosis	診断時	2021-08-24	
lexisDic-id_545	Infectivity	感染力	2021-08-24	
lexisDic-id_546	especially	特に	2021-08-24	
lexisDic-id_547	multiple	複数の	2021-08-24	
lexisDic-id_548	Mortality	死亡率	2021-08-24	
lexisDic-id_549	old age	高齢	2021-08-24	
lexisDic-id_550	co morbid	併存疾患	2021-08-24	
lexisDic-id_551	treated	治療する	2021-08-24	
lexisDic-id_552	HCQ	ヒドロキシクロロキン	2021-08-24	
lexisDic-id_553	not	しない	2021-08-24	
lexisDic-id_554	any treatment	治療	2021-08-24	
lexisDic-id_555	5.4	5.4	2021-08-24	
lexisDic-id_556	7.6	7.6	2021-08-24	
lexisDic-id_557	coronavirus infectious disease 2019	新型コロナウイルス感染症	2021-08-24	
lexisDic-id_558	36.4	36.4	2021-08-24	
lexisDic-id_559	dizziness	めまい	2021-08-24	
lexisDic-id_560	seizure	発作	2021-08-24	
lexisDic-id_561	loss of sense of smell	嗅覚の喪失	2021-08-24	
lexisDic-id_562	loss of sense of	（感覚の）喪失	2021-08-24	
lexisDic-id_563	taste	味覚	2021-08-24	
lexisDic-id_564	stroke	脳卒中	2021-08-24	
lexisDic-id_565	depressed level of consciousness	意識レベルの低下	2021-08-24	
lexisDic-id_566	increased	増加	2021-08-24	
lexisDic-id_567	severely	著しく	2021-08-24	
lexisDic-id_568	neurologic symptoms	神経症状	2021-08-24	
lexisDic-id_569	522	522	2021-08-24	
lexisDic-id_570	Jaipur	ジャイプール（インド）	2021-08-24	
lexisDic-id_571	penetrates	突き刺さる	2021-08-24	
lexisDic-id_572	angiotensin-converting enzyme-2 receptor	アンジオテンシン変換酵素2	2021-08-24	
lexisDic-id_573	ACE-2	ACE-2	2021-08-24	
lexisDic-id_574	severe acute respiratory syndrome coronavirus	SARSコロナウイルス	2021-08-24	
lexisDic-id_575	SARS CoV	SARS CoV	2021-08-24	
lexisDic-id_576	respiratory symptoms	呼吸器症状	2021-08-24	
lexisDic-id_577	aged	歳	2021-08-24	
lexisDic-id_578	60	60	2021-08-24	
lexisDic-id_579	and older	以上	2021-08-24	
lexisDic-id_580	AD	アルツハイマー病	2021-08-24	
lexisDic-id_581	less	しにくい	2021-08-24	
lexisDic-id_582	hand hygiene	手指衛生	2021-08-24	
lexisDic-id_583	susceptible	感染しやすい	2021-08-24	
lexisDic-id_584	lockdown	都市封鎖（ロックダウン）	2021-08-24	
lexisDic-id_585	depression	うつ病	2021-08-24	
lexisDic-id_586	caregivers	介護者	2021-08-24	
lexisDic-id_587	over-reactivity	過剰反応	2021-08-28	
lexisDic-id_588	RAS	レニン-アンジオテンシン系	2021-08-28	
lexisDic-id_589	hypovitaminosis D	ビタミンD欠乏症	2021-08-28	
lexisDic-id_590	renal	腎臓	2021-08-28	
lexisDic-id_591	cardiac	心臓	2021-08-28	
lexisDic-id_592	vascular	血管	2021-08-28	
lexisDic-id_593	immune	免疫	2021-08-28	
lexisDic-id_594	cytokine storm	サイトカインストーム	2021-08-28	
lexisDic-id_595	lethal	致死的	2021-08-28	
lexisDic-id_596	acute respiratory distress syndrome	急性呼吸窮迫症候群（急性呼吸促迫症候群）	2021-08-28	
lexisDic-id_597	interfere	干渉する	2021-08-28	
lexisDic-id_598	interacting	相互作用	2021-08-28	
lexisDic-id_599	spike (S) glycoprotein	スパイク（S）タンパク質	2021-08-28	
lexisDic-id_600	ACE2	アンジオテンシン変換酵素2	2021-08-28	
lexisDic-id_601	expressed	発現する	2021-08-28	
lexisDic-id_602	blood vessels	血管	2021-08-28	
lexisDic-id_603	lung	肺	2021-08-28	
lexisDic-id_604	kidney	腎臓	2021-08-28	
lexisDic-id_605	renal tubules	腎尿細管	2021-08-28	
lexisDic-id_606	intestine	腸	2021-08-28	
lexisDic-id_607	heart	心臓	2021-08-28	
lexisDic-id_608	cerebral	脳	2021-08-28	
lexisDic-id_609	neurons	ニューロン	2021-08-28	
lexisDic-id_610	immune monocytes	免疫系単球	2021-08-28	
lexisDic-id_611	immune	免疫系（マクロファージ）	2021-08-28	
lexisDic-id_612	macrophages	（免疫系）マクロファージ	2021-08-28	
lexisDic-id_613	atherosclerosis	アテローム性動脈硬化症	2021-08-28	
lexisDic-id_614	thrombosis	血栓症	2021-08-28	
lexisDic-id_615	coagulopathy	凝固障害	2021-08-28	
lexisDic-id_616	glaucoma	緑内障	2021-08-28	
lexisDic-id_617	anosmia	無嗅覚症	2021-08-28	
lexisDic-id_618	ageusia	味覚消失	2021-08-28	
lexisDic-id_619	skin lesions	皮膚病変	2021-08-28	
lexisDic-id_620	dermatitis	皮膚炎	2021-08-28	
lexisDic-id_621	autoimmune inflammation of the central nervous system	中枢神経系の自己免疫性炎症	2021-08-28	
lexisDic-id_622	damages	損傷	2021-08-28	
lexisDic-id_623	Alzheimer's	アルツハイマー病	2021-08-28	
lexisDic-id_624	testicle	睾丸	2021-08-28	
lexisDic-id_625	proposed molecules	提案されている分子	2021-08-28	
lexisDic-id_626	ACE inhibitors	ACE阻害薬	2021-08-28	
lexisDic-id_627	production	産生	2021-08-28	
lexisDic-id_628	Angiotensin II	アンジオテンシンII	2021-08-28	
lexisDic-id_629	Angiotensin I	アンジオテンシンI	2021-08-28	
lexisDic-id_630	blockers	遮断薬	2021-08-28	
lexisDic-id_631	antagonists	拮抗薬	2021-08-28	
lexisDic-id_632	AT1R	AT1R	2021-08-28	
lexisDic-id_633	Losartan	ロサルタン	2021-08-28	
lexisDic-id_634	Losartan	ロサルタン（誘導体）	2021-08-28	
lexisDic-id_635	derivatives	（ロサルタン）誘導体	2021-08-28	
lexisDic-id_636	Recombinant	組換え	2021-08-28	
lexisDic-id_637	competitive	競合的	2021-08-28	
lexisDic-id_638	binding	結合	2021-08-28	
lexisDic-id_639	peptide drugs	ペプチド薬	2021-08-28	
lexisDic-id_640	counter-regulatory	逆調節	2021-08-28	
lexisDic-id_641	Angiotensin 1-7	アンジオテンシン1-7	2021-08-28	
lexisDic-id_642	Angiotensin 1-9	アンジオテンシン1-9	2021-08-28	
lexisDic-id_643	Alamandine	アラマンジン	2021-08-28	
lexisDic-id_644	Angiotensin A	アンジオテンシンA	2021-08-28	
lexisDic-id_645	Angiotensin IV	アンジオテンシンIV	2021-08-28	
lexisDic-id_646	February 11	（2020年）2月11日	2021-08-28	
lexisDic-id_647	WHO	WHO	2021-08-28	
lexisDic-id_648	new illness	新しい病気	2021-08-28	
lexisDic-id_649	respiratory illness	呼吸器疾患	2021-08-28	
lexisDic-id_650	symptoms	症状	2021-08-28	
lexisDic-id_651	central nervous system	中枢神経系	2021-08-28	
lexisDic-id_652	nervous system	神経系	2021-08-28	
lexisDic-id_653	CNS	中枢神経系（CNS）	2021-08-28	2021-10-13
lexisDic-id_654	March 11	（2020年）3月11日	2021-08-28	
lexisDic-id_655	use	（感染に）利用する	2021-08-28	
lexisDic-id_656	TMPRSS2	TMPRSS2	2021-08-28	
lexisDic-id_657	Cathepsin L	Cathepsin L	2021-08-28	
lexisDic-id_658	under consideration	検討中	2021-08-28	
lexisDic-id_659	BASIGIN	BASIGIN	2021-08-28	
lexisDic-id_660	infect	感染する	2021-08-28	
lexisDic-id_661	Activation	活性化	2021-08-28	
lexisDic-id_662	coronavirus-19	coronavirus-19	2021-08-28	
lexisDic-id_663	pro-inflammatory	炎症促進性の	2021-08-28	
lexisDic-id_664	cytokines	サイトカイン	2021-08-28	
lexisDic-id_665	metalloproteinases	メタロプロテイナーゼ	2021-08-28	
lexisDic-id_666	proteolytic enzymes	タンパク質分解酵素	2021-08-28	
lexisDic-id_667	thrombi formation	血栓性	2021-08-28	
lexisDic-id_668	respiratory dysfunction	呼吸器症状	2021-08-28	
lexisDic-id_669	seriously ill	重篤	2021-08-28	
lexisDic-id_670	hospitalized in intensive care	集中治療室に入院	2021-08-28	
lexisDic-id_671	systemic	全身性	2021-08-28	
lexisDic-id_672	intravascular coagulopathy	血管内凝固障害	2021-08-28	
lexisDic-id_673	high risk	ハイリスク	2021-08-28	
lexisDic-id_674	thrombotic	血栓性	2021-08-28	
lexisDic-id_675	complications	合併症	2021-08-28	
lexisDic-id_676	venous thromboembolism	静脈血栓塞栓症	2021-08-28	
lexisDic-id_677	IL-1	インターロイキン-1（IL-1）	2021-08-28	
lexisDic-id_678	these patients	患者	2021-08-28	
lexisDic-id_679	lesions	病変	2021-08-28	
lexisDic-id_680	increase	増加	2021-08-28	
lexisDic-id_681	degradation products	分解産物	2021-08-28	
lexisDic-id_682	fibrin	フィブリン	2021-08-28	
lexisDic-id_683	fibrinogen	フィブリノーゲン	2021-08-28	
lexisDic-id_684	D-dimer	D-ダイマー	2021-08-28	
lexisDic-id_685	thrombogenesis	血栓形成	2021-08-28	
lexisDic-id_686	platelet	血小板（凝集）	2021-08-28	
lexisDic-id_687	cell aggregation	細胞凝集	2021-08-28	
lexisDic-id_688	aggregation	（血小板）凝集	2021-08-28	
lexisDic-id_689	clotting abnormalities	凝固異常	2021-08-28	
lexisDic-id_690	anti-clotting inhibitor agents	抗凝固阻害剤	2021-08-28	
lexisDic-id_691	thrombotic diseases	血栓性疾患	2021-08-28	
lexisDic-id_692	innate immune cells	自然免疫細胞	2021-08-28	
lexisDic-id_693	producing	産生する	2021-08-28	
lexisDic-id_694	IL-1 receptor antagonist	IL-1レセプターアンタゴニスト	2021-08-28	
lexisDic-id_695	IL-1Ra	IL-1Ra	2021-08-28	
lexisDic-id_696	avoid	避ける	2021-08-28	
lexisDic-id_697	hemodynamic changes	血行動態変化	2021-08-28	
lexisDic-id_698	septic shock	敗血症性ショック	2021-08-28	
lexisDic-id_699	β-coronavirus	ベータコロナウイルス（属）	2021-08-28	
lexisDic-id_700	neurological symptoms	神経系疾患	2021-08-28	
lexisDic-id_701	penetration	浸透	2021-08-28	
lexisDic-id_702	Vaccine	ワクチン	2021-08-28	
lexisDic-id_703	Non-Replicating	非複製	2021-08-28	
lexisDic-id_704	Rabies Virus	狂犬病ウイルス	2021-08-28	
lexisDic-id_705	Chimeric	キメラ	2021-08-28	
lexisDic-id_706	Spike	スパイク（タンパク質）	2021-08-28	
lexisDic-id_707	Protein Domains	タンパク質ドメイン	2021-08-28	
lexisDic-id_708	Functional	結合	2021-08-28	
lexisDic-id_709	Inhibition	阻害	2021-08-28	
lexisDic-id_710	Nicotinic Acetylcholine Receptor	ニコチン性アセチルコリン受容体（nAChRs）	2021-08-28	
lexisDic-id_711	transport	（軸索）輸送	2021-08-28	
lexisDic-id_712	bound	結合	2021-08-28	
lexisDic-id_713	nAChR	ニコチン性アセチルコリン受容体	2021-08-28	
lexisDic-id_714	peripheral	末梢	2021-08-28	
lexisDic-id_715	nAChRs	ニコチン性アセチルコリン受容体	2021-08-28	
lexisDic-id_716	orthograde	順行性（輸送）	2021-08-28	
lexisDic-id_717	retrograde transport	逆行性輸送	2021-08-28	
lexisDic-id_718	transport	（順行性）輸送	2021-08-28	
lexisDic-id_719	particles	（ウイルス）粒子	2021-08-28	
lexisDic-id_720	capsid proteins	カプシドタンパク質	2021-08-28	
lexisDic-id_721	human immunodeficiency virus 1	ヒト免疫不全ウイルス1型（HIV-1）	2021-08-28	
lexisDic-id_722	HIV-1	ヒト免疫不全ウイルス1型	2021-08-28	
lexisDic-id_723	Middle East respiratory syndrome (Middle East respiratory syndrome coronavirus)	MERSコロナウイルス（MERS-CoV）	2021-08-28	
lexisDic-id_724	MERS-CoV	MERSコロナウイルス	2021-08-28	
lexisDic-id_725	Ebolavirus	エボラウイルス	2021-08-28	
lexisDic-id_726	hepatitis C virus	C型肝炎ウイルス（HCV）	2021-08-28	
lexisDic-id_727	HCV	C型肝炎ウイルス	2021-08-28	
lexisDic-id_728	neutralizes	中和する	2021-08-28	
lexisDic-id_729	affected	影響する	2021-08-28	
lexisDic-id_730	all	全ての	2021-08-28	
lexisDic-id_731	age groups	年齢層	2021-08-28	
lexisDic-id_732	races	人種	2021-08-28	
lexisDic-id_733	ethnicities	民族	2021-08-28	
lexisDic-id_734	many	多くの	2021-08-28	
lexisDic-id_735	individuals	者	2021-08-28	
lexisDic-id_736	they	感染者	2021-08-28	
lexisDic-id_737	others	未感染者	2021-08-28	
lexisDic-id_738	PPE	個人防護具（PPE）	2021-08-28	
lexisDic-id_739	gloves	手袋	2021-08-28	
lexisDic-id_740	face masks	マスク	2021-08-28	
lexisDic-id_741	minimizing	最小限に抑える	2021-08-28	
lexisDic-id_742	chloroquine	クロロキン	2021-08-28	
lexisDic-id_743	hydroxychloroquine	ヒドロキシクロロキン	2021-08-28	
lexisDic-id_744	FDA	FDA	2021-08-28	
lexisDic-id_745	Plasma therapy	血漿療法	2021-08-28	
lexisDic-id_746	vaccines	（ウイルス様粒子）ワクチン	2021-08-28	
lexisDic-id_747	vaccines	（サブユニット）ワクチン	2021-08-28	
lexisDic-id_748	vaccines	（不活化）ワクチン	2021-08-28	
lexisDic-id_749	vaccines	（ウイルスベクター）ワクチン	2021-08-28	
lexisDic-id_750	vaccines	（mRNA）ワクチン	2021-08-28	
lexisDic-id_751	vaccines	（DNA）ワクチン	2021-08-28	
lexisDic-id_752	DNA	DNA（ワクチン）	2021-08-28	
lexisDic-id_753	mRNA	mRNA（ワクチン）	2021-08-28	
lexisDic-id_754	viral vector	ウイルスベクター（ワクチン）	2021-08-28	
lexisDic-id_755	inactivated	不活化（ワクチン）	2021-08-28	
lexisDic-id_756	subunit	サブユニット（ワクチン）	2021-08-28	
lexisDic-id_757	vaccine-like particles (virus-like particles)	ウイルス様粒子（ワクチン）	2021-08-28	
lexisDic-id_758	in process	進行中	2021-08-28	
lexisDic-id_759	vaccine	COVID-19ワクチン	2021-08-28	
lexisDic-id_760	hyperglycaemia	高血糖値	2021-08-28	
lexisDic-id_761	Male sex	男性	2021-08-28	
lexisDic-id_762	renal impairment	腎機能障害	2021-08-28	
lexisDic-id_763	non-white ethnicity	非白人種	2021-08-28	
lexisDic-id_764	socioeconomic deprivation	社会経済的貧困	2021-08-28	
lexisDic-id_765	previous	既往歴	2021-08-28	
lexisDic-id_766	heart failure	心臓病	2021-08-28	
lexisDic-id_767	type 1	1型（糖尿病）	2021-08-28	
lexisDic-id_768	type 2 diabetes	2型糖尿病	2021-08-28	
lexisDic-id_769	diabetes	（1型）糖尿病	2021-08-28	
lexisDic-id_770	rose	増加	2021-08-28	
lexisDic-id_771	sharply	急激に	2021-08-28	
lexisDic-id_772	initial	最初の	2021-08-28	
lexisDic-id_773	England	英国	2021-08-28	
lexisDic-id_774	vaccines	ワクチン	2021-08-28	
lexisDic-id_775	cardiovascular	心血管（疾患）（糖尿病合併症）	2021-08-28	
lexisDic-id_776	renal complications of diabete	糖尿病（性）腎症（合併症）	2021-08-28	
lexisDic-id_777	complications of diabete	（心血管（疾患））糖尿病合併症	2021-08-28	
lexisDic-id_778	glycaemic control	血糖値コントロール	2021-08-28	
lexisDic-id_779	BMI	BMI	2021-08-28	
lexisDic-id_780	Elevated levels	レベルの上昇	2021-09-01	
lexisDic-id_781	IL-6	IL-6	2021-09-01	
lexisDic-id_782	Anti-IL6 inhibitors	IL-6阻害薬	2021-09-01	
lexisDic-id_783	preventing	防ぐ	2021-09-01	
lexisDic-id_784	acute respiratory	急性呼吸（不全）	2021-09-01	
lexisDic-id_785	multi organ failure	多臓器不全	2021-09-01	
lexisDic-id_786	20	20	2021-09-01	
lexisDic-id_787	failure	（急性呼吸）不全	2021-09-01	
lexisDic-id_788	earlier state	早期	2021-09-01	
lexisDic-id_789	hyperinflammatory syndrome	高炎症性症候群	2021-09-01	
lexisDic-id_790	progressing	進行	2021-09-01	
lexisDic-id_791	ARDS	ARDS（急性呼吸窮迫症候群/急性呼吸促迫症候群）	2021-09-01	
lexisDic-id_792	corticosteroids	コルチコステロイド	2021-09-01	
lexisDic-id_793	SOC	標準治療	2021-09-01	
lexisDic-id_794	COVID-19 pneumonia	新型コロナウイルス肺炎	2021-09-01	
lexisDic-id_795	better	より良い	2021-09-01	
lexisDic-id_796	IL6-inhibitors	IL-6阻害薬	2021-09-01	
lexisDic-id_797	sarilumab	サリルマブ（ケブザラ）	2021-09-01	
lexisDic-id_798	hospitalized	入院	2021-09-01	
lexisDic-id_799	at least 18	少なくとも18	2021-09-01	
lexisDic-id_800	radiographic	X線写真	2021-09-01	
lexisDic-id_801	pulmonary infiltrates	肺浸潤	2021-09-01	
lexisDic-id_802	rales	ラ音	2021-09-01	
lexisDic-id_803	crackles	クラックル	2021-09-01	
lexisDic-id_804	SpO2	SpO2	2021-09-01	
lexisDic-id_805	≤ 94	94以下	2021-09-01	
lexisDic-id_806	supplemental oxygen	酸素補給	2021-09-01	
lexisDic-id_807	> 40	40未満	2021-09-01	
lexisDic-id_808	pg/mL	pg/mL	2021-09-01	
lexisDic-id_809	>1.0	1.0未満	2021-09-01	
lexisDic-id_810	mcg/ml	mcg/ml	2021-09-01	
lexisDic-id_811	progressive	進行	2021-09-01	
lexisDic-id_812	worsening	悪化	2021-09-01	
lexisDic-id_813	at least two	少なくとも2つ	2021-09-01	
lexisDic-id_814	24-48h	24～48時間	2021-09-01	
lexisDic-id_815	CRP	CRP	2021-09-01	
lexisDic-id_816	LDH	LDH	2021-09-01	
lexisDic-id_817	serum	血清	2021-09-01	
lexisDic-id_818	ferritin	フェリチン	2021-09-01	
lexisDic-id_819	lymphopenia	リンパ球減少	2021-09-01	
lexisDic-id_820	>20 million	2,000万を超える	2021-09-01	
lexisDic-id_821	>750,000	750,000を超える	2021-09-01	
lexisDic-id_822	bat coronavirus strain RaTG13	コウモリコロナウイルス株RaTG13	2021-09-01	
lexisDic-id_823	Bat-CoV RaTG13	Bat-CoV RaTG13	2021-09-01	
lexisDic-id_824	pangolin coronavirus	センザンコウコロナウイルス	2021-09-01	
lexisDic-id_825	Pangolin-CoV-2020	Pangolin-CoV-2020	2021-09-01	
lexisDic-id_826	ACE2	アンジオテンシン変換酵素2（マレーセンザンコウ）	2021-09-01	
lexisDic-id_827	ACE2	アンジオテンシン変換酵素2（ウサギ）	2021-09-01	
lexisDic-id_828	ACE2	アンジオテンシン変換酵素2（ネコ）	2021-09-01	
lexisDic-id_829	ACE2	アンジオテンシン変換酵素2（ヒツジ）	2021-09-01	
lexisDic-id_830	ACE2	アンジオテンシン変換酵素2（ヤギ）	2021-09-01	
lexisDic-id_831	ACE2	アンジオテンシン変換酵素2（ウマ）	2021-09-01	
lexisDic-id_832	ACE2	アンジオテンシン変換酵素2（ウシ）	2021-09-01	
lexisDic-id_833	ACE2	アンジオテンシン変換酵素2（ラクダ）	2021-09-01	
lexisDic-id_834	ACE2	アンジオテンシン変換酵素2（動物）	2021-09-01	
lexisDic-id_835	domestic	家畜（哺乳綱/哺乳類）	2021-09-01	2021-09-29
lexisDic-id_836	wild mammals	野性哺乳綱/哺乳類	2021-09-01	2021-09-29
lexisDic-id_837	mammals	（家畜）哺乳綱/哺乳類	2021-09-01	2021-09-29
lexisDic-id_838	camels	ラクダ	2021-09-01	
lexisDic-id_839	cattle	ウシ	2021-09-01	
lexisDic-id_840	horses	ウマ	2021-09-01	
lexisDic-id_841	goats	ヤギ	2021-09-01	
lexisDic-id_842	sheep	ヒツジ	2021-09-01	
lexisDic-id_843	rabbits	ウサギ	2021-09-01	
lexisDic-id_844	cell entry	細胞侵入	2021-09-01	
lexisDic-id_845	harbor	宿す	2021-09-01	
lexisDic-id_846	spread	（（別の宿主に）感染が）広がる	2021-09-01	
lexisDic-id_847	pangolin	センザンコウ	2021-09-01	
lexisDic-id_848	coronaviruses	（ベータ）コロナウイルス	2021-09-01	
lexisDic-id_849	animal	動物（哺乳綱/哺乳類）	2021-09-01	2021-09-29
lexisDic-id_850	spillover	異なる動物種への伝播（飛び火）（スピルオーバー）	2021-09-01	
lexisDic-id_851	these viruses	これらの（（ベータ）コロナ）ウイルス	2021-09-01	
lexisDic-id_852	in the future	将来	2021-09-01	
lexisDic-id_853	ACE2-Ig	ACE2-Ig	2021-09-01	
lexisDic-id_854	four	4	2021-09-01	
lexisDic-id_855	ACE2-Ig variants	ACE2-Ig変異体	2021-09-01	
lexisDic-id_856	protect	守る	2021-09-01	
lexisDic-id_857	SARS-like viruses	SARS様ウイルス	2021-09-01	
lexisDic-id_858	betacoronavirus	ベータコロナウイルス	2021-09-01	
lexisDic-id_859	respiratory disease	呼吸器疾患	2021-09-01	
lexisDic-id_860	Italy	イタリア	2021-09-01	
lexisDic-id_861	northern regions	北部	2021-09-01	
lexisDic-id_862	biodiversity	生物多様性	2021-09-01	
lexisDic-id_863	reservoir	感染源	2021-09-01	
lexisDic-id_864	spreading	広がる	2021-09-01	
lexisDic-id_865	ACE2	アンジオテンシン変換酵素2（コウモリ）	2021-09-01	
lexisDic-id_866	Chiroptera	コウモリ	2021-09-01	
lexisDic-id_867	In silico	コンピューター上	2021-09-01	
lexisDic-id_868	molecular docking	分子ドッキング	2021-09-01	
lexisDic-id_869	S protein	（SARS-CoV-2）スパイクタンパク質	2021-09-01	
lexisDic-id_870	Rhinolophus ferrumequinum	キクガシラコウモリ	2021-09-01	
lexisDic-id_871	sequence similarity	相同性	2021-09-01	
lexisDic-id_872	ACE2	アンジオテンシン変換酵素2（ハイイログマ）	2021-09-01	
lexisDic-id_873	ACE2	アンジオテンシン変換酵素2（アナウサギ）	2021-09-01	
lexisDic-id_874	domestic	家畜	2021-09-01	
lexisDic-id_875	wild animals	野性動物	2021-09-01	
lexisDic-id_876	animals	家畜	2021-09-01	
lexisDic-id_877	wild	野性（動物）	2021-09-01	
lexisDic-id_878	European rabbits	アナウサギ	2021-09-01	
lexisDic-id_879	grizzly bears	ハイイログマ	2021-09-01	
lexisDic-id_880	animal	（野性）動物	2021-09-01	
lexisDic-id_881	reservoirs	感染源	2021-09-01	
lexisDic-id_882	these species	ハイイログマ	2021-09-01	
lexisDic-id_883	these species	アナウサギ	2021-09-01	
lexisDic-id_884	these species	ヒツジ	2021-09-01	
lexisDic-id_885	these species	ウシ	2021-09-01	
lexisDic-id_886	these species	ネコ	2021-09-01	
lexisDic-id_887	these species	ウマ	2021-09-01	
lexisDic-id_888	S protein	Bat-CoVスパイクタンパク質	2021-09-01	
lexisDic-id_889	S protein	Bat-CoVスパイクタンパク質	2021-09-01	
lexisDic-id_890	Bat coronavirus	コウモリコロナウイルス	2021-09-01	
lexisDic-id_891	Bt-CoV/Rp3/2004	Bt-CoV/Rp3/2004	2021-09-01	
lexisDic-id_892	infect	（RNAウイルス）感染	2021-09-01	
lexisDic-id_893	worldwide animals	世界の（野性）動物	2021-09-01	
lexisDic-id_894	SARS-CoV-2-like coronaviruses (CoVs)	SARS-CoV-2様（センザンコウ）コロナウイルス	2021-09-01	
lexisDic-id_895	SARS-CoV-2-like coronaviruses (CoVs)	SARS-CoV-2様（コウモリ）コロナウイルス	2021-09-01	
lexisDic-id_896	bats	（SARS-CoV-2様）コウモリ（コロナウイルス）	2021-09-01	
lexisDic-id_897	pangolins	（SARS-CoV-2様）センザンコウ（コロナウイルス）	2021-09-01	
lexisDic-id_898	polybasic	多塩基	2021-09-01	
lexisDic-id_899	furin	furin	2021-09-01	
lexisDic-id_900	cleavage site	切断部位	2021-09-01	
lexisDic-id_901	uses	利用する	2021-09-01	
lexisDic-id_902	Receptor	受容体	2021-09-01	
lexisDic-id_903	recognition	認識	2021-09-01	
lexisDic-id_904	S protein	スパイクタンパク質	2021-09-01	
lexisDic-id_905	host range	宿主範囲	2021-09-01	
lexisDic-id_906	tissue tropism	組織向性	2021-09-01	
lexisDic-id_907	pathogenesis	発病	2021-09-01	
lexisDic-id_908	ACE2	アンジオテンシン変換酵素2（マウス）	2021-09-01	
lexisDic-id_909	ACE2	アンジオテンシン変換酵素2（ラット）	2021-09-01	
lexisDic-id_910	ACE2	アンジオテンシン変換酵素2（アカゲザル）	2021-09-01	
lexisDic-id_911	rhesus monkey	アカゲザル	2021-09-01	
lexisDic-id_912	receptor activities	受容体能	2021-09-01	
lexisDic-id_913	rabbit	ウサギ	2021-09-01	
lexisDic-id_914	strongly	強く	2021-09-01	
lexisDic-id_915	S1 subunit	S1サブユニット	2021-09-01	
lexisDic-id_916	efficiently	効率的	2021-09-01	
lexisDic-id_917	pseudotyped	シュードタイプ（偽型）	2021-09-01	
lexisDic-id_918	orthologs	オルソログ	2021-09-01	
lexisDic-id_919	wild-type	野性型	2021-09-01	
lexisDic-id_920	lacking	欠く	2021-09-01	
lexisDic-id_921	utilize	利用する	2021-09-01	
lexisDic-id_922	broad range	幅広い	2021-09-01	
lexisDic-id_923	animal species	動物種	2021-09-01	
